rank,playoff,o_fgm,o_fga,o_ftm,o_fta,o_3pm,o_3pa,o_oreb,o_dreb,o_reb,o_asts,o_pf,o_stl,o_to,o_blk,o_pts,d_fgm,d_fga,d_ftm,d_fta,d_3pm,d_3pa,d_oreb,d_dreb,d_reb,d_asts,d_pf,d_stl,d_to,d_blk,d_pts,won,lost,GP,homeW,homeL,awayW,awayL,confW,confL,min,attend,playoff_progression_score,next_season_playoff,eFG%,opp_eFG%,Net_eFG%,Off_Rating,Def_Rating,Net_Rating,TO_per_Game,REB_per_Game,Possessions,Pace,TOV%,TS%,AST_TO_Ratio,FTR,OREB%,DREB%,Win%,Home_Win%,Away_Win%,Conf_Win%,Min_per_Game,Avg_Attendance
1,1,902,2004,624,882,125,323,379,851,1230,545,605,263,608,158,2553,911,2286,412,556,161,541,390,674,1064,504,774,309,497,129,2395,25,9,34,13,4,12,5,18,6,6900,133647,4,1,48.12874251497006,43.37270341207349,4.756039102896565,7508.823529411765,7044.117647058823,464.70588235294144,17.88235294117647,36.1764705882353,1866.86,54.90764705882353,32.56805545139968,53.36359987960269,0.8963815789473685,0.44011976047904194,35.99240265906933,68.5737308622079,73.52941176470588,76.47058823529412,70.58823529411765,75.0,202.94117647058823,3930.794117647059
3,1,874,2097,556,792,62,209,397,773,1170,564,648,277,513,148,2366,860,2098,470,609,191,533,325,730,1055,515,728,289,496,131,2381,17,17,34,8,9,9,8,11,9,6850,160860,1,1,43.15689079637578,45.54337464251668,-2.386483846140905,6958.823529411765,7002.941176470588,-44.11764705882342,15.088235294117647,34.411764705882355,1797.72,52.874117647058824,28.536145784660572,48.37496115282071,1.0994152046783625,0.3776824034334764,35.226264418811006,70.40072859744991,50.0,47.05882352941176,52.94117647058824,55.00000000000001,201.47058823529412,4731.176470588235
4,1,831,2060,509,774,76,238,412,803,1215,474,761,241,571,155,2247,784,1945,565,754,154,456,273,745,1018,473,744,272,520,136,2287,16,18,34,12,5,4,13,11,9,6925,159356,1,1,42.18446601941748,44.267352185089976,-2.082886165672498,6608.823529411765,6726.470588235295,-117.64705882352973,16.794117647058822,35.73529411764706,1767.66,51.99,32.30259212744532,46.80157963141934,0.830122591943958,0.3757281553398058,35.609334485738984,74.62825278810409,47.05882352941176,70.58823529411765,23.52941176470588,55.00000000000001,203.6764705882353,4686.941176470588
2,1,919,2220,553,746,136,414,406,880,1286,572,711,213,537,137,2527,840,2165,529,702,175,561,324,760,1084,474,733,275,506,108,2384,23,11,34,14,3,9,8,14,6,6825,159453,4,1,44.45945945945946,42.840646651270205,1.6188128081892543,7432.352941176471,7011.764705882353,420.588235294118,15.794117647058824,37.8235294117647,1847.56,54.339999999999996,29.06536188269935,49.58324176686655,1.0651769087523277,0.33603603603603605,34.81989708404803,73.08970099667775,67.64705882352942,82.35294117647058,52.94117647058824,70.0,200.73529411764707,4689.794117647059
1,1,972,2261,595,785,158,442,380,931,1311,563,702,227,564,117,2697,895,2262,547,718,203,610,309,780,1089,546,767,276,529,117,2540,24,10,34,12,5,12,5,14,6,6850,165738,3,1,46.48385670057497,44.05393457117595,2.429922129399017,7932.352941176471,7470.588235294117,461.76470588235406,16.58823529411765,38.55882352941177,1938.66,57.019411764705886,29.092259601993124,51.73802946593001,0.99822695035461,0.3471915081822203,32.758620689655174,75.08064516129032,70.58823529411765,70.58823529411765,70.58823529411765,70.0,201.47058823529412,4874.64705882353
1,1,974,2295,556,744,168,476,405,843,1248,604,724,278,496,118,2672,872,2151,563,740,215,616,324,761,1085,520,762,229,572,119,2522,22,12,34,14,3,8,9,16,4,6875,162669,4,1,46.10021786492375,45.53695955369596,0.5632583112277914,7858.823529411765,7417.647058823529,441.17647058823604,14.588235294117647,36.705882352941174,1916.98,56.381764705882354,25.87403102797108,50.946475693649994,1.217741935483871,0.3241830065359477,34.734133790737566,72.23650385604114,64.70588235294117,82.35294117647058,47.05882352941176,80.0,202.2058823529412,4784.382352941177
2,1,891,1894,521,634,172,491,273,724,997,494,554,284,440,104,2475,786,1938,370,508,124,418,290,612,902,473,648,233,480,85,2066,27,5,32,14,2,13,3,17,4,6475,196077,4,1,51.58394931362197,43.75644994840041,7.827499365221563,7734.375,6456.25,1278.125,13.75,31.15625,1677.74,52.429375,26.225756076626887,56.949966865473826,1.1227272727272728,0.3347412882787751,30.847457627118647,71.40039447731755,84.375,87.5,81.25,80.95238095238095,202.34375,6127.40625
4,1,747,1908,415,539,138,435,348,710,1058,426,509,251,436,95,2047,740,1883,362,504,152,456,297,685,982,452,561,248,433,120,1994,19,13,32,11,5,8,8,13,8,6450,181115,1,1,42.76729559748428,43.335103558151886,-0.5678079606676079,6396.875,6231.25,165.625,13.625,33.0625,1539.46,48.108125,28.321619269094356,47.71205877417069,0.9770642201834863,0.28249475890985326,33.68828654404646,70.506454816286,59.375,68.75,50.0,61.904761904761905,201.5625,5659.84375
2,1,755,1778,453,585,109,332,299,702,1001,450,467,260,455,126,2072,705,1880,331,452,151,489,309,664,973,446,606,262,464,71,1892,24,8,32,14,2,10,6,16,5,6425,188648,1,1,45.52868391451069,41.51595744680851,4.01272646770218,6475.0,5912.5,562.5,14.21875,31.28125,1529.64,47.80125,29.745561047043743,50.899086174707676,0.989010989010989,0.32902137232845896,31.048805815160957,69.43620178041543,75.0,87.5,62.5,76.19047619047619,200.78125,5895.25
2,1,828,1916,473,600,115,344,266,764,1030,465,490,231,450,129,2244,824,2030,325,448,169,500,298,708,1006,516,634,227,430,122,2142,20,14,34,14,3,6,11,14,10,6825,150203,1,0,46.2160751565762,44.75369458128079,1.4623805752954127,6600.0,6300.0,300.0,13.235294117647058,30.294117647058822,1625.56,47.81058823529412,27.682767784640372,51.46788990825688,1.0333333333333334,0.31315240083507306,27.31006160164271,71.939736346516,58.82352941176471,82.35294117647058,35.294117647058826,58.333333333333336,200.73529411764707,4417.735294117647
