Playoff,Rank,PlayoffProgScore,GP,W,L,WIN%,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,POSS,OFFRTG,DEFRTG,NETRTG,AST/TO,AST RATIO,OREB%,DREB%,REB%,TOV%,EFG%,TS%,PACE,AvgPIE_NextYearPlayers,CER_NextYearCoach,PlayoffNextSeason
0.0,7.0,0.0,32.0,10.0,22.0,31.25,6550.0,2071.0,760.0,1820.0,41.75824175824176,121.0,374.0,32.35294117647059,430.0,553.0,77.75768535262206,295.0,674.0,969.0,480.0,451.0,221.0,83.0,109.0,567.0,613.0,2140.3659367838045,96.75915526444808,99.98290307383819,-3.2237478093901046,1.06430155210643,22.426071717496416,6.310160427807487,14.159663865546218,10.27027027027027,17.93725540106271,45.082417582417584,50.186107826221814,65.35468509263525,0.10118331233010985,0.1,1
1.0,3.0,2.0,34.0,18.0,16.0,52.94117647058824,6875.0,2384.0,864.0,2102.0,41.103710751665076,177.0,549.0,32.240437158469945,479.0,646.0,74.14860681114551,333.0,762.0,1095.0,520.0,434.0,270.0,111.0,88.0,663.0,669.0,2413.9226408993773,98.76041425717649,99.79607296373246,-1.0356587065559637,1.1981566820276497,21.541701096364,5.816593886462882,13.51063829787234,9.634843818741752,15.388761240178143,45.31398667935299,49.953064234947036,70.22320409889097,0.10913072092194152,0.31,1
1.0,1.0,3.0,34.0,18.0,16.0,52.94117647058824,6900.0,2335.0,876.0,2051.0,42.71087274500244,149.0,467.0,31.905781584582442,434.0,590.0,73.5593220338983,321.0,724.0,1045.0,572.0,462.0,299.0,96.0,113.0,610.0,627.0,2370.2363274402433,98.51338336889398,97.2054969087502,1.3078864601437772,1.2380952380952381,24.132614683943192,5.955473098330241,14.058252427184467,9.9146110056926,16.663059943735124,46.343247196489514,50.52800138492167,68.70250224464473,0.10425375568261995,0.34,1
1.0,1.0,4.0,34.0,26.0,8.0,76.47058823529412,6800.0,2474.0,916.0,2025.0,45.23456790123457,130.0,373.0,34.852546916890084,512.0,688.0,74.4186046511628,322.0,788.0,1110.0,573.0,452.0,236.0,130.0,79.0,624.0,675.0,2376.803098301113,104.0893964572985,94.4125325991018,9.676863858196711,1.2676991150442478,24.108013003246583,6.133333333333334,13.848857644991213,10.146252285191956,16.260630567107476,48.44444444444444,53.14213049679514,69.9059734794445,0.09499582902538499,0.42,1
1.0,1.0,2.0,34.0,26.0,8.0,76.47058823529412,6825.0,2683.0,982.0,2216.0,44.314079422382676,174.0,510.0,34.11764705882353,545.0,675.0,80.74074074074075,342.0,926.0,1268.0,630.0,514.0,252.0,153.0,103.0,530.0,646.0,2605.5927106790123,102.97081309000191,92.7620034433599,10.20880964664201,1.2256809338521402,24.178759689415283,6.08,14.290123456790123,10.475010326311441,16.980508754542452,48.24007220216607,53.38241146040589,76.35436514810293,0.08913180718095294,0.73,1
1.0,3.0,1.0,34.0,18.0,16.0,52.94117647058824,6925.0,2675.0,1001.0,2327.0,43.01675977653631,195.0,572.0,34.090909090909086,478.0,615.0,77.72357723577235,354.0,868.0,1222.0,619.0,540.0,272.0,156.0,85.0,641.0,633.0,2691.5804831318783,99.38398709472787,96.33744992023527,3.046537174492599,1.1462962962962964,22.997640378181888,5.919732441471572,14.406639004149378,10.179092044981259,17.21060683324834,47.20670391061452,51.4898367724053,77.73517640814089,0.1035509764141758,0.26,1
1.0,2.0,1.0,34.0,21.0,13.0,61.76470588235294,6850.0,2690.0,965.0,2286.0,42.21347331583552,221.0,669.0,33.03437967115097,539.0,723.0,74.55048409405256,370.0,869.0,1239.0,607.0,487.0,211.0,97.0,104.0,629.0,703.0,2625.8196729518722,102.44420162242056,96.76978301954298,5.67441860287758,1.2464065708418892,23.11659122111869,6.115702479338843,14.141578519121238,10.15990159901599,15.754807319029997,47.047244094488185,51.64892554874584,76.66626782341233,0.10389030208198739,0.61,0
0.0,5.0,0.0,32.0,14.0,18.0,43.75,6425.0,2331.0,868.0,1980.0,43.83838383838384,76.0,273.0,27.83882783882784,519.0,699.0,74.2489270386266,341.0,644.0,985.0,503.0,530.0,260.0,88.0,148.0,701.0,672.0,2380.516708884184,97.91991760866934,101.9106478415409,-3.990730232871556,0.9490566037735849,21.12986639088832,6.952089704383282,13.21025641025641,10.071574642126789,18.81060208123341,45.75757575757576,50.94948329224152,74.10168743608355,0.1043969566049362,0.2529411764705882,0
0.0,7.0,0.0,32.0,10.0,22.0,31.25,6550.0,2103.0,774.0,1914.0,40.43887147335423,143.0,405.0,35.30864197530864,412.0,542.0,76.01476014760148,324.0,621.0,945.0,469.0,498.0,225.0,82.0,109.0,602.0,591.0,2234.37435,94.12030710073269,101.5496798913754,-7.4293727906427165,0.9417670682730924,20.990215896454416,6.315789473684211,13.8,9.813084112149532,18.789049530651052,44.17450365726228,48.85062811268862,68.22517099236642,0.09250005767223889,0.1,0
0.0,8.0,0.0,32.0,9.0,23.0,28.125,6450.0,2114.0,766.0,1919.0,39.916623241271495,110.0,364.0,30.21978021978022,472.0,651.0,72.50384024577573,360.0,719.0,1079.0,478.0,541.0,201.0,132.0,139.0,609.0,637.0,2290.8979890437713,92.27822496288414,98.91317775113313,-6.634952788248995,0.8835489833641405,20.865180478835676,6.997084548104956,13.920619554695064,10.465567410281281,19.69822752363059,42.782699322563836,47.92694428322693,71.03559655949678,0.10132637791097596,0.13,1
1.0,1.0,4.0,34.0,25.0,9.0,73.52941176470588,6900.0,2553.0,902.0,2004.0,45.00998003992016,125.0,323.0,38.69969040247678,624.0,882.0,70.74829931972789,379.0,851.0,1230.0,545.0,608.0,263.0,158.0,129.0,605.0,774.0,2541.720099298042,100.44379004222665,94.22752728207317,6.216262760153484,0.8963815789473685,21.442172179010388,7.198480531813865,13.71474617244158,10.72362685265911,20.26612623663369,48.12874251497006,53.36359987960269,73.673046356465,0.10149613391216442,1.24,1
