playerID,year,tmID,PTS,FGM,FGA,FTM,FTA,DREB,OREB,AST,STL,BLK,PF,TO,GmPTS,GmFGM,GmFGA,GmFTM,GmFTA,GmDREB,GmOREB,GmAST,GmSTL,GmBLK,GmPF,GmTO,PIE
mooreje01w,10,IND,148,57,121,34,46,56,40,14,19,6,85,32,2606,890,2212,613,746,780,342,527,373,117,692,531,0.0364625850340136
moorelo01w,6,NYL,22,9,23,4,9,23,4,19,10,0,12,25,2316,828,1860,452,552,732,242,498,214,112,613,462,0.011560693641618497
moorelo01w,7,NYL,208,68,201,37,51,113,31,122,61,10,90,65,2372,822,2069,512,650,736,285,475,252,112,674,576,0.1590990346800143
moorelo01w,8,NYL,327,119,289,34,58,98,40,163,75,5,93,99,2413,870,2087,430,580,788,287,500,289,109,618,612,0.18824638592080453
moorelo01w,9,NYL,154,55,161,20,24,82,30,132,44,4,71,77,2573,912,2168,490,653,778,327,551,290,117,655,547,0.09537088678192973
moorelo01w,10,NYL,215,78,233,33,48,106,19,133,66,2,55,78,2512,900,2168,458,582,802,280,526,276,121,637,543,0.13040985955861278
moorena01w,8,MIN,21,7,26,6,8,12,3,4,3,0,21,7,2636,971,2355,531,674,785,397,596,238,95,713,561,-0.004411764705882353
moorena01w,9,MIN,48,15,47,15,27,8,7,5,4,3,18,3,2767,991,2303,652,864,792,353,557,309,131,751,472,0.0026041666666666665
mooreta01w,3,MIA,28,8,25,10,10,4,3,10,7,0,16,11,2046,774,1856,369,529,573,296,476,274,96,643,435,0.005220883534136547
mooreta01w,3,MIN,196,63,172,44,53,56,20,78,23,9,65,74,2003,727,1775,383,578,650,309,466,226,102,617,529,0.0951356005165734
mooreta01w,4,DET,21,8,16,5,6,6,3,4,4,2,5,6,2553,902,2004,624,882,851,379,545,263,158,605,608,0.009174311926605505
mooreta01w,4,PHO,33,11,26,11,13,16,3,8,5,4,9,10,2097,801,2095,379,556,643,357,461,310,111,664,479,0.026083112290008842
mooreta01w,5,PHO,82,27,61,25,29,21,7,53,26,9,46,34,2300,826,1922,456,598,652,264,501,282,137,748,464,0.04846852911477617
mooreta01w,6,NYL,11,4,6,2,2,7,0,6,0,0,6,4,2316,828,1860,452,552,732,242,498,214,112,613,462,0.006936416184971098
mooreta01w,7,LAS,206,68,145,53,66,55,16,65,33,8,59,38,2575,962,2195,540,726,852,350,610,296,129,679,534,0.09482092244266942
mooreta01w,8,HOU,58,21,57,12,12,17,8,44,16,2,38,32,2510,915,2149,554,721,770,374,558,289,109,655,633,0.02024412027389104
moosca01w,3,MIA,0,0,1,0,0,0,0,0,0,1,2,0,2046,774,1856,369,529,573,296,476,274,96,643,435,-0.002008032128514056
mosbybe01w,8,WAS,83,30,62,23,28,53,25,10,8,6,22,19,2585,877,2170,668,839,783,335,472,282,133,763,571,0.05872913992297818
mosbybe01w,9,WAS,48,20,51,8,12,36,17,2,2,7,20,12,2368,885,2131,435,659,770,362,483,241,93,757,637,0.02692778457772338
mosbybe01w,10,WAS,46,17,47,12,14,22,15,3,8,1,29,16,2585,933,2205,580,827,803,388,453,314,118,725,607,0.006422607578676943
moweje01w,2,POR,6,3,3,0,0,2,1,0,0,1,5,2,2088,733,1891,450,612,696,300,451,244,106,633,500,0.0016273393002441008
moweje01w,3,POR,1,0,1,1,2,0,1,0,0,0,3,1,2195,829,1951,410,564,641,307,492,239,120,623,493,-0.0032409074540871445
moweje01w,4,LAS,0,0,2,0,0,1,0,0,0,1,3,1,2499,894,2140,537,678,813,336,587,242,161,682,470,-0.002431775195893002
mulitna01w,1,UTA,99,41,69,15,20,22,12,6,4,6,37,30,2413,858,1896,609,790,732,348,522,214,157,698,544,0.02391629297458894
murphsh01w,8,MIN,165,54,145,39,46,54,50,17,19,8,48,20,2636,971,2355,531,674,785,397,596,238,95,713,561,0.06941176470588235
murphsh01w,9,DET,33,12,40,4,6,13,8,7,6,2,16,9,2672,974,2295,556,744,843,405,604,278,118,724,496,0.00466442083441306
murphsh01w,9,MIN,2,1,5,0,0,0,2,0,0,0,2,0,2767,991,2303,652,864,792,353,557,309,131,751,472,-0.0015625
murphsh01w,9,WAS,2,1,3,0,0,0,3,1,0,0,1,2,2368,885,2131,435,659,770,362,483,241,93,757,637,-0.0004079967360261118
murphsh01w,10,IND,100,34,89,21,26,19,23,10,6,2,30,9,2606,890,2212,613,746,780,342,527,373,117,692,531,0.02639455782312925
nagyan01w,1,WAS,97,31,79,21,26,53,10,118,17,8,55,55,2176,832,1813,403,578,646,300,521,245,126,597,506,0.08495460440985733
nagyan01w,2,NYL,34,13,31,2,4,9,0,24,2,3,25,23,2162,833,1828,336,500,660,255,553,265,82,616,437,0.0015659254619480112
nagyan01w,3,SAC,34,12,44,7,16,26,3,73,10,4,51,31,2166,780,1945,494,653,648,301,500,247,109,675,456,0.01792524790236461
nanch01w,10,CHI,97,46,95,5,8,32,23,6,8,9,38,29,2573,930,2136,527,693,776,307,532,249,138,605,532,0.021697857336588012
ndiayas01w,1,DET,346,158,333,29,51,122,65,40,23,22,87,64,2331,868,1980,519,699,644,341,503,260,88,701,530,0.1584470094438615
